,region,feature,importance
106,3,switching,0.14307545945
22,3,causal,0.151538413098
79,4,action,0.152794332718
82,3,scene,0.154212078228
12,1,ptsd,0.167233995825
83,4,scene,0.174442522232
73,2,semantics,0.181210519988
70,3,personality,0.19394574875
218,3,novelty,0.201709378981
105,2,switching,0.20274276173
78,3,action,0.21384508032
199,4,Alzheimer-Parkinson,0.213940891002
196,1,Alzheimer-Parkinson,0.219032191571
16,1,adhd,0.219419753217
159,4,decision-making,0.22445113167
135,4,game,0.230579867604
225,2,emotion,0.234347196724
136,1,taste,0.255462733368
158,3,decision-making,0.257270616435
102,3,categorization,0.262763560158
88,1,sex,0.271971265573
144,1,drug_methods,0.284538228028
162,3,reading,0.289819755293
40,1,eating-disorder,0.316317396729
141,2,communication,0.333878404856
142,3,communication,0.365279725806
69,2,personality,0.393413867779
212,1,memory,0.39546683269
71,4,personality,0.400541280882
130,3,math,0.421180381286
149,2,smoking,0.422988082187
96,1,fear,0.440141556539
157,2,decision-making,0.461382800559
215,4,memory,0.469535059777
210,3,network,0.480191714336
132,1,game,0.492305765556
197,2,Alzheimer-Parkinson,0.500622760832
32,1,depression,0.515301485884
74,3,semantics,0.526455821189
1,2,social,0.545337080161
208,1,network,0.613641283892
2,3,social,0.63498785782
68,1,personality,0.654376006218
148,1,smoking,0.660972637803
209,2,network,0.677021607668
48,1,reward,0.68750059939
224,1,emotion,0.716334258459
211,4,network,0.717620670992
3,4,social,0.747828908145
66,3,awareness,0.781771093522
67,4,awareness,0.799455563477
213,2,memory,0.832824916914
65,2,awareness,0.836432032853
156,1,decision-making,0.858650024548
214,3,memory,0.864188137383
64,1,awareness,1.00360914064
0,1,social,1.07328828514
